Manso;Damian;Newell's;VOL;3500000;1;;;;;
Marquez;Fernando;Belgrano;DEL;3500000;1;;;;;
Martinez;Matias;Lanus;DEF;3500000;1;;;;;
Martinez;Sebastian;Quilmes;DEF;3500000;1;;;;;
Moiraghi;Nestor;Olimpo;DEF;3500000;1;;;;;
Ojeda;Luis;Argentinos;ARQ;3500000;1;;;;;
Perez;Damian;Arsenal;DEF;3500000;1;;;;;
San Roman;Jose;Godoy Cruz;DEF;3500000;1;;;;;
Urribarri;Bruno;River;DEF;3500000;1;;;;;
Vitti;Pablo;Tigre;DEL;3500000;1;;;;;
Caraglio;Milton;Arsenal;DEL;3400000;1;;;;;
Casais;Eduardo;Arsenal;DEF;3400000;1;;;;;
Conde;Esteban;Rafaela;ARQ;3400000;1;;;;;
Diaz;Cristian;Newell's;DEF;3400000;1;;;;;
Dutari;Francisco;Rosario Ctral.;DEF;3400000;1;;;;;
Ferreira;Diego;Rafaela;VOL;3400000;1;;;;;
Luguercio;Pablo;Olimpo;DEL;3400000;1;;;;;
Oreja;Facundo;Gimnasia L.P.;DEF;3400000;1;;;;;
Schunke;Jonathan;Estudiantes;DEF;3400000;1;;;;;
